f_property_type,f_room_type,f_room_type2,f_neighbourhood_cleansed,f_bathrooms_text,n_accommodates,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_days_since,d_stove,d_hdtv,d_tv,d_conditioning,d_soundsystem,d_refrigerator,d_shampoo,d_soap,d_oven,d_toiletries,d_speaker,d_fan,d_heating,d_breakfast,d_table,d_dishwasher,d_dryer,d_elevator,d_fitness,d_parking,d_garage,d_wifi,d_game,d_garden,d_gym,d_restaurant,d_bar,d_washer,d_barbeque,d_bbq,price,id,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,property_type,ln_price
Entire apartment,Entire home/apt,Entire/Apt,Midtown,1 bath,2,94,48,0.36,30,1,4038,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,175,2595,Midtown,Manhattan,Entire home/apt,Entire apartment,5.1647859739235145
Private room in apartment,Private room,Private,Midtown,1 bath,2,84,474,3.36,2,1,4237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,65,5178,Midtown,Manhattan,Private room,Private room in apartment,4.174387269895637
Private room in apartment,Private room,Private,Upper West Side,1 shared bath,1,98,118,0.86,2,1,4113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,75,5203,Upper West Side,Manhattan,Private room,Private room in apartment,4.31748811353631
Private room in apartment,Private room,Private,East Harlem,1 shared bath,1,98,233,1.72,30,1,4062,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,62,6990,East Harlem,Manhattan,Private room,Private room in apartment,4.127134385045092
Private room in apartment,Private room,Private,East Harlem,1 shared bath,1,NA,0,NA,30,2,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,7750,East Harlem,Manhattan,Private room,Private room in apartment,4.564348191467836
Entire apartment,Entire home/apt,Entire/Apt,Hell's Kitchen,1 bath,2,90,58,0.43,30,1,4086,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,9357,Hell's Kitchen,Manhattan,Entire home/apt,Entire apartment,5.0106352940962555
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,3,94,35,0.26,14,1,4112,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,160,9657,East Village,Manhattan,Entire home/apt,Entire apartment,5.075173815233827
Private room in apartment,Private room,Private,Harlem,1 shared bath,2,98,98,1.24,30,1,2376,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,9704,Harlem,Manhattan,Private room,Private room in apartment,4.007333185232471
Private room in apartment,Private room,Private,East Village,1 shared bath,2,88,265,1.96,2,1,4063,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,40,12192,East Village,Manhattan,Private room,Private room in apartment,3.6888794541139363
Entire apartment,Entire home/apt,Entire/Apt,Harlem,1 bath,3,96,107,0.8,30,1,3996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,12343,Harlem,Manhattan,Entire home/apt,Entire apartment,5.0106352940962555
Entire apartment,Entire home/apt,Entire/Apt,Kips Bay,1 bath,1,96,20,0.19,30,1,3162,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,200,14322,Kips Bay,Manhattan,Entire home/apt,Entire apartment,5.298317366548036
Entire condominium,Entire home/apt,Entire/Apt,Nolita,1 bath,2,91,26,0.3,30,2,2628,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,150,15341,Nolita,Manhattan,Entire home/apt,Entire condominium,5.0106352940962555
Entire apartment,Entire home/apt,Entire/Apt,Chelsea,2 baths,4,100,5,0.09,30,2,1724,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,375,15396,Chelsea,Manhattan,Entire home/apt,Entire apartment,5.926926025970411
Entire apartment,Entire home/apt,Entire/Apt,Upper East Side,1 bath,6,94,83,0.62,30,4,3992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,270,15711,Upper East Side,Manhattan,Entire home/apt,Entire apartment,5.598421958998375
Private room in apartment,Private room,Private,East Village,1 shared bath,1,93,119,1.17,1,1,3041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,69,16821,East Village,Manhattan,Private room,Private room in apartment,4.23410650459726
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,2,96,53,0.41,30,1,3908,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,250,17037,East Village,Manhattan,Entire home/apt,Entire apartment,5.521460917862246
Private room in apartment,Private room,Private,Washington Heights,1 shared bath,2,98,60,1.25,2,1,1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,65,17693,Washington Heights,Manhattan,Private room,Private room in apartment,4.174387269895637
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,2,97,21,0.17,30,1,3738,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,176,18127,East Village,Manhattan,Entire home/apt,Entire apartment,5.170483995038151
Private room in apartment,Private room,Private,Kips Bay,1 bath,2,100,1,0.02,30,1,1725,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,95,18961,Kips Bay,Manhattan,Private room,Private room in apartment,4.553876891600541
Entire apartment,Entire home/apt,Entire/Apt,Harlem,1 bath,3,94,58,0.46,31,2,3823,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,110,19159,Harlem,Manhattan,Entire home/apt,Entire apartment,4.700480365792417
Entire apartment,Entire home/apt,Entire/Apt,Upper West Side,1 bath,2,94,83,0.63,30,0,3923,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,21456,Upper West Side,Manhattan,Entire home/apt,Entire apartment,4.59511985013459
Private room in apartment,Private room,Private,Harlem,1 shared bath,1,100,3,0.11,30,0,794,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,21644,Harlem,Manhattan,Private room,Private room in apartment,4.59511985013459
Private room in apartment,Private room,Private,Chelsea,1 shared bath,2,99,36,0.28,30,1,3862,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,85,21794,Chelsea,Manhattan,Private room,Private room in apartment,4.442651256490317
Private room in apartment,Private room,Private,Harlem,1 shared bath,2,95,190,1.54,1,1,3692,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,100,25696,Harlem,Manhattan,Private room,Private room in apartment,4.605170185988092
Private room in apartment,Private room,Private,Hell's Kitchen,Half-bath,1,91,374,2.9,2,1,3862,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,26362,Hell's Kitchen,Manhattan,Private room,Private room in apartment,4.07753744390572
Entire apartment,Entire home/apt,Entire/Apt,Upper West Side,1.5 baths,4,92,28,0.24,30,3,3515,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,225,27006,Upper West Side,Manhattan,Entire home/apt,Entire apartment,5.41610040220442
Entire apartment,Entire home/apt,Entire/Apt,Harlem,1 bath,6,95,209,1.84,2,1,3398,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,170,27644,Harlem,Manhattan,Entire home/apt,Entire apartment,5.135798437050262
Entire apartment,Entire home/apt,Entire/Apt,Upper West Side,1 bath,2,92,20,0.16,30,2,3768,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,170,27759,Upper West Side,Manhattan,Entire home/apt,Entire apartment,5.135798437050262
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,3,97,25,0.2,30,2,3741,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,27883,East Village,Manhattan,Entire home/apt,Entire apartment,4.605170185988092
Entire apartment,Entire home/apt,Entire/Apt,Upper East Side,1 bath,4,99,21,0.16,30,2,3846,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,28907,Upper East Side,Manhattan,Entire home/apt,Entire apartment,5.0106352940962555
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,3,96,111,0.86,30,1,3852,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,145,29683,East Village,Manhattan,Entire home/apt,Entire apartment,4.976733742420574
Private room in apartment,Private room,Private,Upper West Side,1 shared bath,2,97,66,0.52,30,1,3826,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,99,31130,Upper West Side,Manhattan,Private room,Private room in apartment,4.59511985013459
Entire apartment,Entire home/apt,Entire/Apt,West Village,1 bath,2,94,31,0.26,30,1,3623,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,100,31555,West Village,Manhattan,Entire home/apt,Entire apartment,4.605170185988092
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,1,100,3,0.03,14,1,3023,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,160,32329,East Village,Manhattan,Entire home/apt,Entire apartment,5.075173815233827
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,3,88,34,0.27,1,2,3748,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,125,33014,East Village,Manhattan,Entire home/apt,Entire apartment,4.8283137373023015
Entire apartment,Entire home/apt,Entire/Apt,Upper West Side,1 bath,2,100,20,0.17,120,1,3484,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,150,33156,Upper West Side,Manhattan,Entire home/apt,Entire apartment,5.0106352940962555
Private room in apartment,Private room,Private,East Harlem,1 private bath,2,95,34,0.27,30,1,3721,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,79,36647,East Harlem,Manhattan,Private room,Private room in apartment,4.3694478524670215
Entire condominium,Entire home/apt,Entire/Apt,West Village,1 bath,2,98,136,1.08,30,2,3775,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,200,36703,West Village,Manhattan,Entire home/apt,Entire condominium,5.298317366548036
Entire apartment,Entire home/apt,Entire/Apt,Upper East Side,1 bath,4,83,265,2.47,1,1,3221,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,99,39267,Upper East Side,Manhattan,Entire home/apt,Entire apartment,4.59511985013459
Private room in apartment,Private room,Private,Hell's Kitchen,NA,2,97,44,0.35,30,1,3755,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,139,39572,Hell's Kitchen,Manhattan,Private room,Private room in apartment,4.9344739331306915
Private room in apartment,Private room,Private,Upper West Side,1 private bath,2,91,181,1.47,1,1,3703,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,102,39586,Upper West Side,Manhattan,Private room,Private room in apartment,4.624972813284271
Entire apartment,Entire home/apt,Entire/Apt,Tribeca,1 bath,6,97,12,0.87,30,5,411,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,250,43726,Tribeca,Manhattan,Entire home/apt,Entire apartment,5.521460917862246
Entire apartment,Entire home/apt,Entire/Apt,West Village,1 bath,2,95,87,0.69,30,1,3758,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,170,44288,West Village,Manhattan,Entire home/apt,Entire apartment,5.135798437050262
Entire apartment,Entire home/apt,Entire/Apt,Harlem,1 bath,4,96,18,0.66,30,2,822,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,45542,Harlem,Manhattan,Entire home/apt,Entire apartment,4.605170185988092
Private room in apartment,Private room,Private,West Village,1 bath,2,86,23,0.19,30,1,3705,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,45737,West Village,Manhattan,Private room,Private room in apartment,3.713572066704308
Entire apartment,Entire home/apt,Entire/Apt,Lower East Side,1 bath,2,95,116,0.95,60,1,3658,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,192,48719,Lower East Side,Manhattan,Entire home/apt,Entire apartment,5.2574953720277815
Private room in apartment,Private room,Private,Upper East Side,1 bath,1,NA,0,NA,14,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,51438,Upper East Side,Manhattan,Private room,Private room in apartment,4.867534450455582
Private room in apartment,Private room,Private,East Village,1 shared bath,2,89,95,0.77,30,0,3700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,53758,East Village,Manhattan,Private room,Private room in apartment,4.6913478822291435
Private room in apartment,Private room,Private,Harlem,1 bath,2,NA,0,NA,30,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,200,54466,Harlem,Manhattan,Private room,Private room in apartment,5.298317366548036
Entire apartment,Entire home/apt,Entire/Apt,Harlem,1 bath,5,92,122,1.01,1,4,3631,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,161,54544,Harlem,Manhattan,Entire home/apt,Entire apartment,5.081404364984463
Private room in apartment,Private room,Private,East Harlem,1 private bath,2,97,228,1.85,5,1,3703,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,100,54860,East Harlem,Manhattan,Private room,Private room in apartment,4.605170185988092
Private room in apartment,Private room,Private,Harlem,1 shared bath,2,93,208,1.71,30,1,3648,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78,56859,Harlem,Manhattan,Private room,Private room in apartment,4.356708826689592
Entire apartment,Entire home/apt,Entire/Apt,Hell's Kitchen,1 bath,4,96,109,0.94,3,2,3467,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,250,57618,Hell's Kitchen,Manhattan,Entire home/apt,Entire apartment,5.521460917862246
Private room in apartment,Private room,Private,Harlem,1 private bath,2,97,264,2.15,3,1,3686,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,157,57874,Harlem,Manhattan,Private room,Private room in apartment,5.056245805348308
Private room in apartment,Private room,Private,Harlem,1.5 baths,2,94,524,4.47,1,1,3518,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,41,58059,Harlem,Manhattan,Private room,Private room in apartment,3.713572066704308
Private room in apartment,Private room,Private,Roosevelt Island,0 shared baths,2,96,22,0.3,30,0,2233,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,58467,Roosevelt Island,Manhattan,Private room,Private room in apartment,4.59511985013459
Entire apartment,Entire home/apt,Entire/Apt,Lower East Side,1 bath,2,93,57,0.47,30,1,3637,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,150,59014,Lower East Side,Manhattan,Entire home/apt,Entire apartment,5.0106352940962555
Entire apartment,Entire home/apt,Entire/Apt,Chinatown,1 bath,5,92,24,0.21,7,2,3495,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,130,59709,Chinatown,Manhattan,Entire home/apt,Entire apartment,4.867534450455582
Entire apartment,Entire home/apt,Entire/Apt,Midtown,1 bath,4,92,82,0.67,30,1,3670,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,59855,Midtown,Manhattan,Entire home/apt,Entire apartment,5.521460917862246
Entire apartment,Entire home/apt,Entire/Apt,Greenwich Village,1 bath,3,98,10,0.09,30,1,3362,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,250,60457,Greenwich Village,Manhattan,Entire home/apt,Entire apartment,5.521460917862246
Entire apartment,Entire home/apt,Entire/Apt,East Harlem,1 bath,2,97,190,1.62,30,1,3521,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,88,60611,East Harlem,Manhattan,Entire home/apt,Entire apartment,4.477336814478207
Private room in apartment,Private room,Private,Harlem,1 private bath,3,94,216,1.78,30,2,3630,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110,60666,Harlem,Manhattan,Private room,Private room in apartment,4.700480365792417
Private room in apartment,Private room,Private,Harlem,1 bath,2,100,3,0.11,30,1,796,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,125,60673,Harlem,Manhattan,Private room,Private room in apartment,4.8283137373023015
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,6,91,163,1.34,30,2,3650,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,79,60680,East Village,Manhattan,Entire home/apt,Entire apartment,4.3694478524670215
Entire apartment,Entire home/apt,Entire/Apt,Upper West Side,1 bath,6,100,4,0.04,30,3,3378,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,211,60794,Upper West Side,Manhattan,Entire home/apt,Entire apartment,5.351858133476067
Entire apartment,Entire home/apt,Entire/Apt,Little Italy,1 bath,4,92,21,0.17,30,3,3647,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,135,61167,Little Italy,Manhattan,Entire home/apt,Entire apartment,4.90527477843843
Entire apartment,Entire home/apt,Entire/Apt,Midtown,1 bath,3,85,92,0.77,200,0,3604,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,61509,Midtown,Manhattan,Entire home/apt,Entire apartment,4.700480365792417
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,2,96,61,0.53,30,1,3432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,130,62427,East Village,Manhattan,Entire home/apt,Entire apartment,4.867534450455582
Entire apartment,Entire home/apt,Entire/Apt,Upper West Side,1 bath,2,96,30,0.26,30,1,3505,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,170,62468,Upper West Side,Manhattan,Entire home/apt,Entire apartment,5.135798437050262
Entire apartment,Entire home/apt,Entire/Apt,Chelsea,1 bath,2,98,68,0.64,30,1,3165,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,205,62903,Chelsea,Manhattan,Entire home/apt,Entire apartment,5.3230099791384085
Private room in apartment,Private room,Private,Inwood,1 shared bath,2,100,1,0.06,30,2,530,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,64,63913,Inwood,Manhattan,Private room,Private room in apartment,4.1588830833596715
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,2,NA,0,NA,30,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,64015,East Village,Manhattan,Entire home/apt,Entire apartment,5.298317366548036
Private room in apartment,Private room,Private,East Village,1 shared bath,2,91,215,1.78,1,1,3630,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,64837,East Village,Manhattan,Private room,Private room in apartment,3.6888794541139363
Entire apartment,Entire home/apt,Entire/Apt,Lower East Side,1 bath,5,100,1,0.01,2,2,3643,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65425,Lower East Side,Manhattan,Entire home/apt,Entire apartment,4.174387269895637
Private room in apartment,Private room,Private,Harlem,1 shared bath,1,98,20,0.21,3,1,2832,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,75,65813,Harlem,Manhattan,Private room,Private room in apartment,4.31748811353631
Entire apartment,Entire home/apt,Entire/Apt,Upper East Side,1 bath,2,96,64,0.54,31,1,3586,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,99,65981,Upper East Side,Manhattan,Entire home/apt,Entire apartment,4.59511985013459
Entire apartment,Entire home/apt,Entire/Apt,Nolita,1 bath,5,97,133,1.15,1,3,3458,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,116,66275,Nolita,Manhattan,Entire home/apt,Entire apartment,4.7535901911063645
Entire apartment,Entire home/apt,Entire/Apt,Harlem,1 bath,5,87,211,1.79,30,2,3529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,97,66718,Harlem,Manhattan,Entire home/apt,Entire apartment,4.574710978503383
Entire apartment,Entire home/apt,Entire/Apt,East Harlem,1.5 baths,2,97,31,0.31,28,2,3023,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,102,67288,East Harlem,Manhattan,Entire home/apt,Entire apartment,4.624972813284271
Private room in apartment,Private room,Private,Harlem,1 shared bath,2,96,105,0.89,30,1,3524,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,122,67397,Harlem,Manhattan,Private room,Private room in apartment,4.804021044733257
Private room in apartment,Private room,Private,Harlem,1 private bath,1,91,66,0.59,30,2,3330,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,75,68305,Harlem,Manhattan,Private room,Private room in apartment,4.31748811353631
Entire apartment,Entire home/apt,Entire/Apt,Upper West Side,1 bath,2,99,33,0.29,30,1,3363,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,199,68735,Upper West Side,Manhattan,Entire home/apt,Entire apartment,5.293304824724492
Entire apartment,Entire home/apt,Entire/Apt,Upper West Side,1 bath,2,96,51,0.49,30,1,3146,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,140,69894,Upper West Side,Manhattan,Entire home/apt,Entire apartment,4.941642422609304
Entire condominium,Entire home/apt,Entire/Apt,Chinatown,1 bath,2,96,50,0.42,25,1,3564,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,120,71248,Chinatown,Manhattan,Entire home/apt,Entire condominium,4.787491742782046
Entire condominium,Entire home/apt,Entire/Apt,West Village,1 bath,2,97,42,0.4,30,1,3161,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,200,71366,West Village,Manhattan,Entire home/apt,Entire condominium,5.298317366548036
Entire apartment,Entire home/apt,Entire/Apt,Upper West Side,1 bath,2,90,37,0.32,30,0,3468,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110,72190,Upper West Side,Manhattan,Entire home/apt,Entire apartment,4.700480365792417
Entire apartment,Entire home/apt,Entire/Apt,East Harlem,1 bath,3,82,36,0.32,30,2,3376,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,80,74333,East Harlem,Manhattan,Entire home/apt,Entire apartment,4.382026634673881
Entire apartment,Entire home/apt,Entire/Apt,Harlem,1 bath,5,93,47,0.4,30,2,3517,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,149,74821,Harlem,Manhattan,Entire home/apt,Entire apartment,5.003946305945459
Entire apartment,Entire home/apt,Entire/Apt,Lower East Side,1 bath,3,96,321,2.69,30,2,3574,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,150,75635,Lower East Side,Manhattan,Entire home/apt,Entire apartment,5.0106352940962555
Private room in apartment,Private room,Private,Lower East Side,1.5 shared baths,2,87,200,1.72,2,2,3497,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,80493,Lower East Side,Manhattan,Private room,Private room in apartment,4.007333185232471
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,2,96,270,2.3,30,1,3520,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,93,82638,East Village,Manhattan,Entire home/apt,Entire apartment,4.532599493153256
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,2,98,44,0.38,30,1,3506,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,232,83847,East Village,Manhattan,Entire home/apt,Entire apartment,5.44673737166631
Private room in apartment,Private room,Private,Harlem,1 shared bath,1,94,136,1.16,30,1,3510,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,87279,Harlem,Manhattan,Private room,Private room in apartment,4.248495242049359
