f_property_type,f_room_type,f_room_type2,f_neighbourhood_cleansed,f_bathrooms_text,n_accommodates,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_days_since,d_stove,d_hdtv,d_tv,d_conditioning,d_soundsystem,d_refrigerator,d_shampoo,d_soap,d_oven,d_toiletries,d_speaker,d_fan,d_heating,d_breakfast,d_table,d_dishwasher,d_dryer,d_elevator,d_fitness,d_parking,d_garage,d_wifi,d_game,d_garden,d_gym,d_restaurant,d_bar,d_washer,d_barbeque,d_bbq,price,id,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,property_type,ln_price
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,5,100,4,0.06,30,1,1908,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,280,8426874,East Village,Manhattan,Entire home/apt,Entire apartment,5.634789603169249
Private room in apartment,Private room,Private,Hell's Kitchen,2 baths,2,100,1,0.02,30,1,1896,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,8427028,Hell's Kitchen,Manhattan,Private room,Private room in apartment,4.867534450455582
Entire apartment,Entire home/apt,Entire/Apt,Washington Heights,1 bath,2,NA,0,NA,30,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,115,8428777,Washington Heights,Manhattan,Entire home/apt,Entire apartment,4.74493212836325
Entire apartment,Entire home/apt,Entire/Apt,Midtown,1 bath,2,95,4,0.1,30,1,1196,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,8439145,Midtown,Manhattan,Entire home/apt,Entire apartment,5.1298987149230735
Private room in apartment,Private room,Private,Lower East Side,1 shared bath,1,91,230,3.65,30,1,1891,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,42,8440352,Lower East Side,Manhattan,Private room,Private room in apartment,3.7376696182833684
Entire apartment,Entire home/apt,Entire/Apt,Greenwich Village,1 bath,2,93,4,0.06,30,1,1875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,8444730,Greenwich Village,Manhattan,Entire home/apt,Entire apartment,4.969813299576001
Private room in apartment,Private room,Private,East Village,1 bath,2,90,2,0.03,30,1,1874,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,8445883,East Village,Manhattan,Private room,Private room in apartment,4.8283137373023015
Entire apartment,Entire home/apt,Entire/Apt,Inwood,1 bath,5,96,22,0.36,4,2,1839,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,125,8446914,Inwood,Manhattan,Entire home/apt,Entire apartment,4.8283137373023015
Private room in apartment,Private room,Private,Upper East Side,1 shared bath,2,95,65,1.03,1,1,1897,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,135,8458966,Upper East Side,Manhattan,Private room,Private room in apartment,4.90527477843843
Private room in apartment,Private room,Private,Tribeca,1 bath,2,100,2,0.03,30,1,1873,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,8467862,Tribeca,Manhattan,Private room,Private room in apartment,4.844187086458591
